seq_id,family,species,model,embedding_dim
GAPDH|Claviceps_monticola,GAPDH,Claviceps_monticola,esm2_t12_35M_UR50D,480
GAPDH|Rostrohypoxylon_terebratum,GAPDH,Rostrohypoxylon_terebratum,esm2_t12_35M_UR50D,480
GAPDH|Volvox_reticuliferus,GAPDH,Volvox_reticuliferus,esm2_t12_35M_UR50D,480
GAPDH|Branchiostoma_lanceolatum,GAPDH,Branchiostoma_lanceolatum,esm2_t12_35M_UR50D,480
GAPDH|Scatophagus_argus,GAPDH,Scatophagus_argus,esm2_t12_35M_UR50D,480
GAPDH|Daldinia_sp._EC12,GAPDH,Daldinia_sp._EC12,esm2_t12_35M_UR50D,480
GAPDH|Delphinus_delphis,GAPDH,Delphinus_delphis,esm2_t12_35M_UR50D,480
GAPDH|Bombus_affinis,GAPDH,Bombus_affinis,esm2_t12_35M_UR50D,480
GAPDH|Lobosporangium_transversale,GAPDH,Lobosporangium_transversale,esm2_t12_35M_UR50D,480
GAPDH|Obba_rivulosa,GAPDH,Obba_rivulosa,esm2_t12_35M_UR50D,480
GAPDH|Aspergillus_campestris_IBT_28561,GAPDH,Aspergillus_campestris_IBT_28561,esm2_t12_35M_UR50D,480
GAPDH|Budorcas_taxicolor,GAPDH,Budorcas_taxicolor,esm2_t12_35M_UR50D,480
GAPDH|Symbiodinium_microadriaticum,GAPDH,Symbiodinium_microadriaticum,esm2_t12_35M_UR50D,480
GAPDH|Thermothielavioides_terrestris,GAPDH,Thermothielavioides_terrestris,esm2_t12_35M_UR50D,480
GAPDH|Populus_tomentosa,GAPDH,Populus_tomentosa,esm2_t12_35M_UR50D,480
GAPDH|Halicephalobus_sp._NKZ332,GAPDH,Halicephalobus_sp._NKZ332,esm2_t12_35M_UR50D,480
GAPDH|Aix_galericulata,GAPDH,Aix_galericulata,esm2_t12_35M_UR50D,480
GAPDH|Stachybotrys_chlorohalonata_IBT_40285,GAPDH,Stachybotrys_chlorohalonata_IBT_40285,esm2_t12_35M_UR50D,480
GAPDH|Gyalolechia_ehrenbergii,GAPDH,Gyalolechia_ehrenbergii,esm2_t12_35M_UR50D,480
GAPDH|Komagataella_phaffii_GS115,GAPDH,Komagataella_phaffii_GS115,esm2_t12_35M_UR50D,480
GAPDH|Cryptococcus_neoformans_var._grubii_AD1-83a,GAPDH,Cryptococcus_neoformans_var._grubii_AD1-83a,esm2_t12_35M_UR50D,480
GAPDH|Suillus_occidentalis,GAPDH,Suillus_occidentalis,esm2_t12_35M_UR50D,480
GAPDH|Aspergillus_sclerotioniger_CBS_115572,GAPDH,Aspergillus_sclerotioniger_CBS_115572,esm2_t12_35M_UR50D,480
GAPDH|Eospalax_fontanierii,GAPDH,Eospalax_fontanierii,esm2_t12_35M_UR50D,480
GAPDH|Aspergillus_carbonarius_ITEM_5010,GAPDH,Aspergillus_carbonarius_ITEM_5010,esm2_t12_35M_UR50D,480
GAPDH|Tropheus_moorii,GAPDH,Tropheus_moorii,esm2_t12_35M_UR50D,480
GAPDH|Carpinus_fangiana,GAPDH,Carpinus_fangiana,esm2_t12_35M_UR50D,480
GAPDH|Candida_metapsilosis,GAPDH,Candida_metapsilosis,esm2_t12_35M_UR50D,480
GAPDH|Vespula_vulgaris,GAPDH,Vespula_vulgaris,esm2_t12_35M_UR50D,480
GAPDH|Eupithecia_insigniata,GAPDH,Eupithecia_insigniata,esm2_t12_35M_UR50D,480
GAPDH|Sesbania_bispinosa,GAPDH,Sesbania_bispinosa,esm2_t12_35M_UR50D,480
GAPDH|Monosporascus_sp._MG133,GAPDH,Monosporascus_sp._MG133,esm2_t12_35M_UR50D,480
GAPDH|Branchiostoma_floridae,GAPDH,Branchiostoma_floridae,esm2_t12_35M_UR50D,480
GAPDH|Serendipita_vermifera,GAPDH,Serendipita_vermifera,esm2_t12_35M_UR50D,480
GAPDH|Iris_pallida,GAPDH,Iris_pallida,esm2_t12_35M_UR50D,480
GAPDH|Cnaphalocrocis_medinalis,GAPDH,Cnaphalocrocis_medinalis,esm2_t12_35M_UR50D,480
GAPDH|Vigna_unguiculata,GAPDH,Vigna_unguiculata,esm2_t12_35M_UR50D,480
GAPDH|Plutella_xylostella,GAPDH,Plutella_xylostella,esm2_t12_35M_UR50D,480
GAPDH|Bos_mutus,GAPDH,Bos_mutus,esm2_t12_35M_UR50D,480
GAPDH|Micractinium_conductrix,GAPDH,Micractinium_conductrix,esm2_t12_35M_UR50D,480
GAPDH|Megachile_rotundata,GAPDH,Megachile_rotundata,esm2_t12_35M_UR50D,480
GAPDH|Diaporthaceae_sp._PMI_573,GAPDH,Diaporthaceae_sp._PMI_573,esm2_t12_35M_UR50D,480
GAPDH|Tricholaema_leucomelas,GAPDH,Tricholaema_leucomelas,esm2_t12_35M_UR50D,480
GAPDH|Trichophyton_soudanense_CBS_452.61,GAPDH,Trichophyton_soudanense_CBS_452.61,esm2_t12_35M_UR50D,480
GAPDH|Zerene_cesonia,GAPDH,Zerene_cesonia,esm2_t12_35M_UR50D,480
GAPDH|Maylandia_zebra,GAPDH,Maylandia_zebra,esm2_t12_35M_UR50D,480
GAPDH|Toxotes_jaculatrix,GAPDH,Toxotes_jaculatrix,esm2_t12_35M_UR50D,480
GAPDH|Nothoprocta_ornata,GAPDH,Nothoprocta_ornata,esm2_t12_35M_UR50D,480
